,text,target
135,"Возможность испытания одного образца устанавливает испытательная лаборатория с учетом 10.2 ГОСТ 30403. 6.2 Размеры, кроме толщины, основной части испытуемого образца конструкции стены, в том числе размеры и расположение имитации оконного проема, размеры и расположение открытого проема без заполнения должны соответствовать размерам и расположению тех же элементов фрагмента стены.",
136,Всю партию следует приобретать у одного поставщика.,
137,"А.5.2 Потерю массы идентифицируемого материала [см. А.1.1, перечисление а) ] характеризуют фиксированными на ТГ-зависимостях значениями потери образцом относительной массы , %, , %), число которых должно быть не менее пяти, и соответствующими им значениями температур °C - °C.",
138,В этом случае значение параметра определяют как среднеарифметическое значение.,
139,А.4.3 Для получения значений регистрируемых при выполнении ТА параметров проводят испытания не менее двух образцов материала.,
140,"По ДТГ-зависимости определяют значения локальных максимумов скорости потери массы образцом идентифицируемого материала , %/мин, и соответствующие им температуры , °C.",
141,"По ДТА-зависимости определяются значения относительного выделения или поглощения тепла , °C·мин/мг, в области температур, прилегающих к температурам , где i - порядковый номер локального максимума экзо- или эндотермического эффекта.",
142,Приложение Б (обязательное) МЕТОД КАЛОРИМЕТРИИ ДЛЯ ИДЕНТИФИКАЦИОННОГО КОНТРОЛЯ МАТЕРИАЛОВ При проведении идентификационных испытаний материалов методом калориметрии следует руководствоваться положениями [1] и [2].,
143,Ниже представлен образец оформления протокола идентификационного контроля материалов по методу калориметрии путем определения низшей теплоты сгорания.,
144,Акт калибровки испытательной установки вместе с видео- и фотоматериалами калибровки должен быть заверен руководителем испытательной лаборатории и предъявляться заказчику испытаний и представителям надзорных органов по их требованию.,
145,"Метод определения уровня обеспечения пожарной безопасности людей приведен в Приложении 2 <*>. -------------------------------- <*> Приведенные в Приложениях 2 , 3 и 5 стандарта методы могут изменяться с согласия головной организации в области пожарной безопасности - ВНИИПО МВД СССР. 1.3.",
146,"Табличное значение интенсивности движения в дверном проеме при плотности потока 0,9 и более, равное 8,5 м/мин, установлено для дверного проема шириной 1,6 м и более, а при дверном проеме меньшей ширины интенсивность движения следует определять по формуле.",
147,"Проем, расположенный в стене толщиной более 0,7 м, а также тамбур следует считать самостоятельным участком горизонтального пути, имеющим конечную длину.",
148,"При отсутствии необходимых исходных данных для определения времени начала эвакуации в зданиях (сооружениях) без систем оповещения величину следует принимать равной 0,5 мин - для этажа пожара и 2 мин - для вышележащих этажей.",
149,"Механические (фрикционные) искры (искры от удара и трения) Размеры искр удара и трения, которые представляют собой раскаленную до свечения частичку металла или камня, обычно не превышают 0,5 мм, а их температура находится в пределах температуры плавления металла.",
150,"Если выбранное и вычисленное значения отличаются более чем на 5%, то вычисление необходимо повторить.",
151,"Вероятность ( ) при расчете ( ) и ( ) вычисляют по формуле (49) , причем значения параметров и в формулах ( 50 и 51 ) необходимо увеличить на 100 м. 3.1.9.",
152,"Коэффициент теплоотдачи определяют в следующей последовательности: а) вычисляют число Рейнольдса по формуле , (77) где - диаметр капли, м; - коэффициент кинематической вязкости воздуха при температуре 20 °C, ; б) вычисляют критерий Нуссельта по формуле ; (78) в) вычисляют коэффициент теплоотдачи по формуле , (79) где - коэффициент теплопроводности воздуха,.",
153,"Сосуд объемом 4 м3 без встроенных внутрь элементов для хранения бензола, рассчитанный на максимальное абсолютное давление 0,2 МПа, необходимо оснастить надежной системой сброса давления взрыва с отводом продуктов взрыва по трубопроводу в безопасное место.",
154,"Отсюда нетрудно вычислить, что диаметр предохранительной мембраны должен быть равен 0,5 м.",
155,"Требуется определить безопасную площадь разгерметизации при условии, что реактор рассчитан на избыточное давление 0,4 МПа (абсолютное давление 0,5 МПа).",
156,"В лабораторном сосуде объемом 0,01 м3, рассчитанном на давление 2,0 МПа и имеющем сбросное отверстие для установки предохранительной мембраны диаметром 2,5 см, проводят исследования по определению нормальных скоростей распространения пламени для стехиометрических метановоздушных смесей при различных давлениях.",
157,Время автоматического отключения циклона не более 2 мин.,
158,"Расчетное время эвакуации , определенное в соответствии с теми же нормами, равно 0,47 мин.",
159,"Нижний концентрационный предел воспламенения этилена ( в смеси с воздухом равен 2,75%, поэтому, в соответствии с СНиП II-90-81 : производство по взрывной, взрывопожарной и пожарной опасности относится к категории А, то есть в цехе возможно возникновение как пожара, так и взрыва.",
160,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 10 м. 3.",
161,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 5 м. 2.",
162,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 5 м. 2.",
163,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 10 м. 3.",
164,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 5 м. 2.",
165,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 10 м. 3.",
166,"Погрешность определения диаметра сбросного сечения по инженерным формулам (158) , (159) в сравнении с точным компьютерным решением системы дифференциальных уравнений динамики развития взрыва составляет около 10%. 3.",
167,"Требуется определить, до какого максимального начального давления можно подавать в сосуд горючую смесь, чтобы после ее воспламенения в центре сосуда давление взрыва не превысило допустимого давления 2,0 МПа.",
168,"Выбрав в качестве значения коэффициента расхода , получаем выражение , т.е. диаметр сбросного трубопровода должен составлять около 0,7 м, что слишком много для сосуда, эквивалентный диаметр которого (диаметр сферы объемом 4 м3) 1,97 м.",
169,"Предотвращение образования в горючей среде источников зажигания должно достигаться применением одного из следующих способов или их комбинацией: применением машин, механизмов, оборудования, устройств, при эксплуатации которых не образуются источники зажигания; применением электрооборудования, соответствующего пожароопасной и взрывоопасной зонам, группе и категории взрывоопасной смеси в соответствии с требованиями ГОСТ 12.1.011 <*> и Правил устройства электроустановок; -------------------------------- <*> В Российской Федерации действуют ГОСТ Р 51330.2-99 , ГОСТ Р 51330.5-99 , ГОСТ Р 51330.11-99 , ГОСТ Р 51330.19-99 . применением в конструкции быстродействующих средств защитного отключения возможных источников зажигания; применением технологического процесса и оборудования, удовлетворяющих требованиям электростатической искробезопасности по ГОСТ 12.1.018 ; устройством молниезащиты зданий, сооружений и оборудования; поддержанием температуры нагрева поверхности машин, механизмов, оборудования, устройств, веществ и материалов, которые могут войти в контакт с горючей средой, ниже предельно допустимой, составляющей 80% наименьшей температуры самовоспламенения горючего; исключением возможности появления искрового разряда в горючей среде с энергией, равной и выше минимальной энергии зажигания; применением неискрящего инструмента при работе с легковоспламеняющимися жидкостями и горючими газами; ликвидацией условий для теплового, химического и (или) микробиологического самовозгорания обращающихся веществ, материалов, изделий и конструкций.",
170,"Учитывая, что из всей массы этилена, вышедшего в объем помещения, только 70% участвуют в образовании локального взрывоопасного облака, время образования этого облака и время его существования после устранения утечки этилена будет равно:.",
171,"Время истечения этилена при имевших место авариях за анализируемый период времени было равно 4,5, 5 и 5,5 мин.",
172,Приложение 6 Справочное ПРИМЕРЫ РАСЧЕТА 1.,
173,Данные для расчета В качестве пожароопасного объекта взят резервуар с нефтью объемом 20000 м3.,
174,"Так как температура колбы электролампочки мощностью 150 Вт равна 350 °C, а температура самовоспламенения этилена 540 °C, следовательно, нагретая колба не может быть источником зажигания этиленовоздушной смеси.",
175,"Тогда общее время существования взрывоопасного облака, занимающего 5% объема помещения и представляющего опасность при взрыве для целостности строительных конструкций и жизни людей, с учетом работы аварийной вентиляции будет равно.",
176,"Температура газа при сжатии в компрессоре и отсутствии его охлаждения ( ), К, вычисляют по формуле , (96) где - температура газа в начале сжатия, К; - давление газа в конце и начале сжатия, ; - показатель адиабаты (равен 1,67 и 1,4 соответственно для одно- и двухатомных газов).",
177,"Установлено, что искра диаметром 2 мм пожароопасна, если имеет температуру около 1000 °C, диаметром 3 мм - 800 °C, диаметром 5 мм - 600 °C.",
178,"Прямой удар молнии Опасность прямого удара молнии заключается в контакте горючей среды с каналом молнии, температура в котором достигает 30000 °C при силе тока 200000 А и времени действия около 100 мкс.",
179,"Размер капель при резке металла достигает 15 - 26 мм, скорость - , температура 1500 °C.",
180,"При соприкосновении человека с заземленным предметом возникают искры с энергией от 2,5 до 7,5 мДж.",
181,"При этом диаметр искры принимают 3 мм, а скорость полета искры ( ), , вычисляют по формуле , (94) где - скорость ветра, ; - высота трубы, м. 5.1.5.",
182,"Температура дуги при сварке и резке достигает 4000 °C, поэтому дуга является источником зажигания всех горючих веществ.",
183,"При высоте расположения провода 10 м вероятность попадания частиц на расстояние 9 м составляет 0,06, 7 м - 0,45 и 5 м - 0,92, при высоте расположения 3 м вероятность попадания частиц на расстояние 8 м составляет 0,01, 6 м - 0,29 и 4 м - 0,96, а при высоте 1 м вероятность разлета частиц на 6 м - 0,06, 5 м - 0,24, 4 м - 0,66 и 3 м - 0,99.",
184,Данные для расчета Отделение компрессии этилена расположено в одноэтажном производственном здании размерами в плане 20 x 12 м и высотой 10 м.,
185,"Диаметр трубопроводов с этиленом равен 150 мм, температура этилена достигает 130 °C.",
186,"Если рассчитывать свободный объем невозможно, допускается принимать его равным 80% геометрического объема.",
187,"Температура капель алюминия при коротком замыкании достигает 2500 °C, температура сварочных частиц и никелевых частиц ламп накаливания достигает 2100 °C.",
188,Размер капель металла при этом достигает 3 мм (при потолочной сварке - 4 мм).,
189,"Энергия искрового разряда превышает 250 мДж и достаточна для воспламенения горючих веществ с минимальной энергией зажигания до 0,25 Дж. 5.1.1.3.",
190,"Сначала рассчитывают значения критической продолжительности пожара ( ) по условию достижения каждым из ОФП предельно допустимых значений в зоне пребывания людей (рабочей зоне): по повышенной температуре , (25) по потере видимости , (26) по пониженному содержанию кислорода , (27) по каждому из газообразных токсичных продуктов горения , (28) где - размерный комплекс, зависящий от теплоты сгорания материала и свободного объема помещения, кг; - начальная температура воздуха в помещении, °C; - показатель степени, учитывающий изменение массы выгорающего материала во времени; - размерный параметр, учитывающий удельную массовую скорость выгорания горючего материала и площадь пожара, ; - безразмерный параметр, учитывающий неравномерность распределения ОФП по высоте помещения; - низшая теплота сгорания материала, ; - удельная изобарная теплоемкость газа, ; - коэффициент теплопотерь; - коэффициент полноты горения; - свободный объем помещения, м3; - коэффициент отражения предметов на путях эвакуации; - начальная освещенность, лк; - предельная дальность видимости в дыму, м; - дымообразующая способность горящего материала, ; - удельный выход токсичных газов при сгорании 1 кг материала, ; - предельно допустимое содержание токсичного газа в помещении, ( ; ; ); - удельный расход кислорода,.",
191,"Плотность людского потока ( ) на первом участке пути, м2/м2, вычисляют по формуле , (8) где - число людей на первом участке, чел.; - средняя площадь горизонтальной проекции человека, принимаемая равной, м2: взрослого в домашней одежде ...................... 0,1 взрослого в зимней одежде ........................ 0,125 подростка ........................................ 0,07; - ширина первого участка пути, м.",
192,"Площадь щели при разгерметизации фланцевого соединения трубопровода диаметром 150 мм и толщиной щели 0,5 мм равна.",
193,"Для отклонения компрессора при заклинивании всасывающего клапана имеется система контроля давления, которая отключает компрессор через 10 с после заклинивания клапана.",
194,"Ширина поэтажного коридора 1,5 м, расстояние от наиболее удаленного помещения этажа до выхода в лестничную клетку 40 м, через один выход эвакуируются 50 человек, ширина выхода 1,2 м.",
195,"Радиус резервуара РВС - 20000 R = 22,81 м.",
196,Время начала эвакуации принимаем равным 2 мин.,
197,При этом время блокирования эвакуационных путей на этаже пожара принимаем равным 1 мин в соответствии с требованиями строительных норм и правил проектирования зданий и сооружений.,
198,"Условие формулы (2) Приложения 2 выполняется, поэтому безопасность людей в здании на случай возникновения пожара обеспечена.",
199,"Таким образом, вероятность появления около резервуара какого-либо теплового источника в соответствии с Приложением 3 составит значение.",
200,"Данные для расчета Ацетон находится в аппарате с максимальным объемом заполнения , равным 0,07 м3, и в центре помещения над уровнем пола.",
201,К малоопасным относятся также негорючие вещества и материалы по п. 1.6 в горючей упаковке.,
202,"Следовательно, принимаем, что весь разлившийся ацетон, кг, за время аварийной ситуации, равное 3600 с, испарится в объем помещения, т.е..",
203,Свободный объем помещения равен 10000 м3.,
204,"Расчет Объем ацетона, м3, вышедшего из трубопроводов, составляет , где - время автоматического отключения насоса, равное 2 мин.",
205,Для сосудов объемом до 200 м3 различной формы с незначительными встроенными внутрь элементами значение фактора турбулизации не превышает . 4.3.,
206,"С ростом объема аппарата значение фактора турбулизации увеличивается, и для полых аппаратов объемом около 10 м3 в зависимости от степени негерметичности (отношение ) аппарата.",
207,"Приложение 8 МЕТОД ОПРЕДЕЛЕНИЯ БЕЗОПАСНОЙ ПЛОЩАДИ РАЗГЕРМЕТИЗАЦИИ ОБОРУДОВАНИЯ Настоящий метод предназначен для определения безопасной площади разгерметизации (такая площадь сбросного сечения предохранительного устройства, вскрытие которой в процессе сгорания смеси внутри оборудования, например аппарата, позволяет сохранить последний от разрушения или деформации) технологического оборудования, в котором обращаются, перерабатываются или получаются горючие газы, жидкости, способные создавать с воздухом или друг с другом взрывоопасные смеси, сгорающие ламинарно или турбулентно во фронтальном режиме.",
208,"Следовательно, при температуре в аппарате 80 °C (353 К) максимальное значение нормальной скорости распространения пламени в соответствии с формулой (163).",
209,Аппарат имеет рубашку обогрева (80 °C).,
210,"С увеличением степени негерметичности сосуда объемом около 10 м3 от 0,025 до 0,25 значение фактора турбулизации возрастает от 2,5 до 5.",
211,"Итак, безопасная площадь разгерметизации составляет в данном случае 0,175 м2, что равнозначно сбросному отверстию диаметром 0,47 м.",
212,"Реактор вместимостью 6 м3, в котором возможно образование изопропаноловоздушной стехиометрической смеси при давлении 0,2 МПа, содержит сложные вращающиеся детали.",
213,"При наличии орошения в трубопроводе и использовании приемной емкости, находящейся под разрежением, длина трубопровода (по результатам экспериментов - до 30 м) не оказывает заметного влияния на максимальное давление взрыва.",
214,"Увеличение давления разгерметизации до ~ 0,2 МПа (при начальном давлении технологической среды 0,1 МПа) также приводит к исчезновению эффекта интенсификации взрыва.",
215,"Полый технологический аппарат объемом 12 м3 рассчитан на максимальное избыточное давление 0,2 МПа (абсолютное давление 0,3 МПа) и предназначен для работы при атмосферном давлении с содержащей ацетон реакционной массой.",
216,"Так, увеличение с целью снизить давление взрыва площади разгерметизации в 10 раз в сосуде объемом порядка 10 м3 сопровождается увеличением фактора турбулизации в 2 раза.",
217,Ускорение пламени на специальных препятствиях достигает значений и более уже в сосудах объемом около 10 м3.,
218,"Влияние формы аппарата Для технологического оборудования с отношением длины к диаметру до 5:1 можно считать, что форма аппарата не влияет на значение фактора турбулизации, так как увеличение поверхности пламени из-за его вытягивания по форме аппарата компенсируется уменьшением поверхности в результате более раннего касания пламенем стенок сосуда. 4.4.",
219,"Влияние начальной герметизации аппарата Для полых аппаратов объемом до 200 м3 с начально открытыми сбросными сечениями, например люками, значение фактора турбулизации не превышает = 2, для аппаратов с начально закрытыми сбросными сечениями (мембраны, разгерметизаторы и т.д.) не превышает = 8. 4.5.",
220,"Длина напорного и обводящего трубопроводов диаметром 0,05 м равна соответственно 3 и 10 м.",
221,"Объем помещения составляет 10000 м3 (48 x 24 x 8,7).",
222,Площадь разлива ацетона принимаем равной 116 м2.,
223,"Приложение 7 Справочное ТРЕБОВАНИЯ ПОЖАРНОЙ БЕЗОПАСНОСТИ ПО СОВМЕСТНОМУ ХРАНЕНИЮ ВЕЩЕСТВ И МАТЕРИАЛОВ Требования предназначаются для всех предприятий, организаций и объектов независимо от их ведомственной подчиненности, имеющих склады или базы для хранения веществ и материалов.",
224,"В качестве критической температуры, в зависимости от вида изделия, условий его эксплуатации и возможных источников зажигания, может быть принята температура, составляющая 80% температуры воспламенения изоляционного (конструкционного) материала. 2.7.",
225,"Тогда время образования локального взрывоопасного облака, занимающего 5% объема цеха при работе вентиляции, будет равно.",
226,"Обследование показало, что за год наблюдалось 10 случаев заклинивания клапанов.",
227,"Статистические данные показывают, что за анализируемый период времени наблюдался один случай разрушения деталей поршневой группы, в результате чего в цилиндре компрессора в течение 2 мин наблюдалось искрение.",
228,"Зная, что скорость движения этих деталей составляет , а их масса равна 10 кг и более, найдем энергию соударения ( ), Дж, по формуле.",
229,"Известно, что фрикционные искры твердых сталей при энергиях соударения порядка 1000 Дж поджигают метановоздушные смеси с минимальной энергией зажигания 0,28 мДж.",
230,"Минимальная энергия зажигания этиленовоздушной смеси равна 0,12 мДж, а энергия соударения тел значительно превышает 1000 Дж, следовательно:.",
231,"Рассчитаем время образования взрывоопасной концентрации в локальном облаке, занимающем 5% объема цеха.",
232,"Эффект интенсификации горения в сосуде при сбросе газов через трубопровод исчезает при увеличении давления разгерметизации до 0,2 МПа при начальном давлении 0,1 МПа. 4.8.",
233,Влияние объема аппарата Для полых аппаратов объемом менее 1 м3 значение фактора турбулизации.,
234,"Влияние условий истечения Если истечение горючей смеси и продуктов сгорания осуществляется через сбросный трубопровод, расположенный за разгерметизирующим элементом и имеющий диаметр, приблизительно равный диаметру сбросного отверстия, то значение фактора турбулизации вне зависимости от объема сосуда (до 15 м3) принимают (для сосудов со степенью негерметичности около , когда оснащение сосудов сбросным трубопроводом оправдано по соображениям разумного соотношения характерных размеров сосуда и трубопровода) при условии.",
235,"Влияние степени негерметичности аппарата Увеличение степени негерметичности в 10 раз (от 0,025 до 0,25), что равнозначно увеличению площади разгерметизации в 10 раз для одного и того же аппарата, приводит к возрастанию фактора турбулизации в 2 раза (для аппаратов объемом около 10 м3 с до ). 4.6.",
236,"Записанное относительно критериальное соотношение (159) принимает вид , а следовательно, максимально допустимое начальное давление горючей смеси в сосуде , т.е. не должно превышать 0,6 МПа. (Введено дополнительно, Изм. N 1.).",
237,Коллективную защиту следует обеспечивать с помощью пожаробезопасных зон и других конструктивных решений.,
238,"Показателем оценки уровня обеспечения пожарной безопасности людей на объектах является вероятность предотвращения воздействия ( ) опасных факторов пожара (ОФП), перечень которых определяется настоящим стандартом. 1.2.",
239,"Средства индивидуальной защиты следует применять также для пожарных, участвующих в тушении пожара. 3.5.",
240,"Методики, содержащиеся в стандартах и других нормативно-технических документах и предназначенные для определения показателей пожарной опасности строительных конструкций, их облицовок и отделок, веществ, материалов и изделий (в т.ч. незавершенного производства), должны адекватно отражать реальные условия пожара. 1.9.",
241,Метод определения вероятности возникновения пожара от (в) электрических изделий приведен в Приложении 5 . 1.8.,
242,"Объекты, отнесенные к соответствующим категориям по пожарной опасности согласно нормам технологического проектирования для определения категорий помещений и зданий по пожарной и взрывопожарной опасности, должны иметь экономически эффективные системы пожарной безопасности.",
243,Метод определения вероятности возникновения пожара (взрыва) в пожароопасном объекте приведен в Приложении 3 . 1.4.,
244,Конкретные значения минимально возможной вероятности возникновения пожара определяются проектировщиками и технологами при паспортизации этих объектов в установленном порядке.,
245,"Объекты, пожары на которых могут привести к массовому поражению людей, находящихся на этих объектах, и окружающей территории опасными и вредными производственными факторами (по ГОСТ 12.0.003 ), а также опасными факторами пожара и их вторичными проявлениями, должны иметь системы пожарной безопасности, обеспечивающие минимально возможную вероятность возникновения пожара.",
246,"Порядок совместного хранения веществ и материалов осуществляют в соответствии с Приложением 7 ; устранением контакта с воздухом пирофорных веществ; уменьшением определяющего размера горючей среды ниже предельно допустимого по горючести; выполнением действующих строительных норм, правил и стандартов. 2.4.",
247,Перечень и требования к эффективности элементов конкретных систем пожарной безопасности должны устанавливаться нормативными и нормативно-техническими документами на соответствующие виды объектов.,
248,"Объекты должны иметь системы пожарной безопасности, направленные на предотвращение воздействия на людей опасных факторов пожара, в том числе их вторичных проявлений, на требуемом уровне.",
249,"Требуемый уровень обеспечения пожарной безопасности людей с помощью указанных систем должен быть не менее 0,999999 предотвращения воздействия опасных факторов в год в расчете на каждого человека, а допустимый уровень пожарной опасности для людей должен быть не более воздействия опасных факторов пожара, превышающих предельно допустимые значения, в год в расчете на каждого человека.",
250,Метод определения вероятности возникновения пожара (взрыва) в пожаровзрывоопасном объекте Приложение 4.,
251,"В зданиях и сооружениях необходимо предусмотреть технические средства (лестничные клетки, противопожарные стены, лифты, наружные пожарные лестницы, аварийные люки и т.п.), имеющие устойчивость при пожаре и огнестойкость конструкций не менее времени, необходимого для спасения людей при пожаре, и расчетного времени тушения пожара. 3.8.",
252,"Каждый объект должен иметь такое объемно-планировочное и техническое исполнение, чтобы эвакуация людей из него была завершена до наступления предельно допустимых значений опасных факторов пожара, а при нецелесообразности эвакуации была обеспечена защита людей в объекте.",
253,"Для обеспечения эвакуации необходимо: установить количество, размеры и соответствующее конструктивное исполнение эвакуационных путей и выходов; обеспечить возможность беспрепятственного движения людей по эвакуационным путям; организовать при необходимости управление движением людей по эвакуационным путям (световые указатели, звуковое и речевое оповещение и т.п.). 3.4.",
254,Средства коллективной и индивидуальной защиты должны обеспечивать безопасность людей в течение всего времени действия опасных факторов пожара.,
255,"Ограничение распространения пожара за пределы очага должно достигаться применением одного из следующих способов или их комбинацией: устройством противопожарных преград; установлением предельно допустимых по технико-экономическим расчетам площадей противопожарных отсеков и секций, а также этажности зданий и сооружений, но не более определенных нормами; устройством аварийного отключения и переключения установок и коммуникаций; применением средств, предотвращающих или ограничивающих разлив и растекание жидкостей при пожаре; применением огнепреграждающих устройств в оборудовании. 3.3.",
256,Метод экспериментального определения вероятности возникновения пожара в (от) электрических изделиях Приложение 6.,
257,"Системы пожарной безопасности должны характеризоваться уровнем обеспечения пожарной безопасности людей и материальных ценностей, а также экономическими критериями эффективности этих систем для материальных ценностей, с учетом всех стадий (научная разработка, проектирование, строительство, эксплуатация) жизненного цикла объектов, и выполнять одну из следующих задач: исключать возникновение пожара; обеспечивать пожарную безопасность людей; обеспечивать пожарную безопасность материальных ценностей; обеспечивать пожарную безопасность людей и материальных ценностей одновременно. 1.2.",
258,"Вычисляют продолжительность начальной стадии пожара по формулам: для помещений с объемом : , (147) для помещений с объемом : , (148) где - минимальная продолжительность начальной стадии пожара, с, определяют в соответствии с черт. 7 , 8 ; - средняя скорость потери массы пожарной нагрузки в начальной стадии пожара, , вычисляют по формуле , (149) где - скорость потери массы в начальной стадии пожара i -го материала пожарной нагрузки, . - средняя теплота сгорания пожарной нагрузки, , вычисляют по формуле , (150) - линейная скорость распространения пламени,.",
259,"Минимальную продолжительность начальной стадии пожара в помещении определяют в зависимости от объема помещения, высоты помещения и количества приведенной пожарной нагрузки ( черт. 7 , 8 ).",
260,"Значение предотвращенных потерь ( ), руб., определяют по формуле , (115) где , - экономические потери от одного пожара на охраняемом объекте соответственно до и после реализации мероприятий по обеспечению пожарной безопасности, руб.",
261,В этом случае в качестве следует учитывать ликвидационное сальдо. 2.,
262,"Метод определения площади пожара Настоящий метод предназначен для определения площади пожара, значение которой необходимо при расчете потерь от пожара на объекте.",
263,"Экономические потери ( и ) от пожара на объекте за год могут быть определены на основании статистических данных о пожарах и использовании расчетного метода ( разд. 1 , 2 , 3 ). 2.2.",
264,Экономический эффект затрат на обеспечение пожарной безопасности определяется по результатам эксплуатации за расчетный период.,
265,"При этом должны учитываться возможности закупки техники за рубежом, организации собственного производства на основе приобретения лицензий, организации совместного производства с зарубежными партнерами.",
266,Конечный год использования результатов мероприятия по обеспечению пожарной безопасности определяется разработчиком и согласовывается с основным заказчиком (потребителем).,
267,Конечный год расчетного периода определяется моментом завершения использования результатов осуществления мероприятия.,
268,"Экономический эффект определяется по всему циклу реализации мероприятия по обеспечению пожарной безопасности за расчетный период времени, включающий в себя время проведения научно-исследовательских и опытно-конструкторских работ, освоение и производство элементов систем и мероприятий по обеспечению пожарной безопасности, а также время использования результатов осуществления мероприятия на охраняемом объекте.",
269,"Затраты на обеспечение пожарной безопасности следует считать эффективными с социальной точки зрения, если они обеспечивают выполнение норматива по исключению воздействия на людей опасных факторов пожара, установленного настоящим стандартом ( разд. 1 и Приложение 2 ). 1.3.",
270,"В этом случае в качестве следует учитывать остаточную стоимость фондов; в) фонды, высвобожденные за ненадобностью в году , которые нигде более по своему назначению использованы быть не могут.",
271,"В этом случае в качестве следует учитывать остаточную стоимость фондов; б) фонды в конце расчетного периода, отслужившие лишь часть своего срока службы и эффективно функционирующие.",
272,"Расчеты экономического эффекта могут использоваться при определении цен на научно-техническую продукцию противопожарного назначения, а также для обоснования выбора мероприятий по обеспечению пожарной безопасности при формировании планов научно-исследовательских и опытно-конструкторских работ, экономического и социального развития объектов.",
273,По значениям относительной избыточной температуры и критерия определяют по графику (черт. 5) критерий Фурье.,
274,"Температура искр, образующихся при соударении металлов, способных вступать в химическое взаимодействие друг с другом с выделением значительного количества тепла, может превышать температуру плавления, и поэтому ее определяют экспериментально или расчетом.",
275,Более строгое определение конечной температуры капли может быть проведено при учете зависимости коэффициента теплоотдачи от температуры. 5.1.2.3.,
276,"Если отсутствует возможность определения коэффициента , то принимают.",
277,"Если , то конечную температуру капли определяют по формуле . (82) Если , то конечную температуру капли в твердом состоянии определяют по формуле , (83) где - удельная теплоемкость металла,.",
278,Время существования этой неисправности определяют как продолжительность периода между запланированным и фактическим сроками проверки. 3.1.5.,
279,Вероятность ( ) неисправности существующей системы защиты от вторичных воздействий молнии определяют на основании результатов ее обследования аналогично вероятности ( ) по формуле (42).,
280,Определение пожароопасных параметров тепловых источников интенсивности отказов элементов 5.1.,
281,"При необходимости учитывают и иные события, приводящие к появлению источника зажигания. 4.",
282,Значения токов и определяют экспериментально.,
283,"Вероятность ( ) появления в i -м элементе объекта искр короткого замыкания вычисляют только для действующих и строящихся элементов объектов по формуле , (55) где - вероятность возникновения короткого замыкания электропроводки в i -м элементе объекта в течение года; - вероятность того, что значение электрического тока в i -м элементе объекта лежит в диапазоне пожароопасных значений; - вероятность отсутствия или отказа аппаратов защиты от короткого замыкания в течение года, определяющаяся по п. 3.1.30 . 3.1.11.",
284,"Если данные для определения ( ) отсутствуют или их достаточность вызывает сомнение, то значение вероятности ( ) принимают равным 1. 3.2.2.",
285,"Вероятность ( ) того, что воспламеняющаяся способность появившегося в i -м элементе объекта n -го энергетического (теплового) источника достаточна для зажигания k -й горючей среды, находящейся в этом элементе, определяется экспериментально или сравнением параметров энергетического (теплового) источника с соответствующими показателями пожарной опасности горючей среды. 3.2.1.",
286,Численное значение затрат на мероприятия по обеспечению пожарной безопасности определяется на основе бухгалтерской отчетности объекта защиты. 1.2.,
287,"Эффективность затрат на обеспечение пожарной безопасности определяется как социальными (оценивает соответствие фактического положения установленному социальному нормативу), так и экономическими (оценивает достигаемый экономический результат) показателями.",
288,"Вероятность возникновения пожара (взрыва) в пожаровзрывоопасном объекте определяют на этапах его проектирования, строительства и эксплуатации. 1.2.",
289,Приложение 3 Обязательное МЕТОД ОПРЕДЕЛЕНИЯ ВЕРОЯТНОСТИ ВОЗНИКНОВЕНИЯ ПОЖАРА (ВЗРЫВА) В ПОЖАРОВЗРЫВООПАСНОМ ОБЪЕКТЕ Настоящий метод устанавливает порядок расчета вероятности возникновения пожара (взрыва) в объекте и изделии. 1.,
290,"Если это условие не выполняется, то расчет вероятности взаимодействия ОФП на людей следует производить по расчетным зависимостям, приведенным в разд. 2 . 3.2.",
291,"Из полученных в результате расчетов значений критической продолжительности пожара выбирается минимальное . (31) Необходимое время эвакуации людей ( ), мин, из рассматриваемого помещения рассчитывают по формуле . (32) При расположении людей на различных по высоте площадках необходимое время эвакуации следует определять для каждой площадки.",
292,"Следует иметь в виду, что наибольшей опасности при пожаре подвергаются люди, находящиеся на более высокой отметке.",
293,"На действующих и строящихся объектах вероятность ( ) реализации в i -м элементе объекта причины, приводящей к появлению k -го горючего вещества, вычисляют на основе статистических данных о времени существования этой причины по формуле , (42) где - коэффициент безопасности, определение которого изложено в разд. 4 ; - анализируемый период времени, мин; - количество реализаций причины в i -м элементе объекта за анализируемый период времени; - время существования причины появления k -го вида горючего вещества при j -й реализации в течение анализируемого периода времени, мин.",
294,"Вероятность возникновения пожара (взрыва) в проектируемых объектах определяют на основе показателей надежности элементов объекта, позволяющих рассчитывать вероятность производственного оборудования, систем контроля и управления, а также других устройств, составляющих объект, которые приводят к реализации различных пожаровзрывоопасных событий.",
