,text
201,"По ДТГ-зависимости определяют значения локальных максимумов скорости потери массы образцом идентифицируемого материала , %/мин, и соответствующие им температуры , °C."
202,"По ДТА-зависимости определяются значения относительного выделения или поглощения тепла , °C·мин/мг, в области температур, прилегающих к температурам , где i - порядковый номер локального максимума экзо- или эндотермического эффекта."
203,Ниже представлен образец оформления протокола идентификационного контроля материалов по методу калориметрии путем определения низшей теплоты сгорания.
204,Акт калибровки испытательной установки вместе с видео- и фотоматериалами калибровки должен быть заверен руководителем испытательной лаборатории и предъявляться заказчику испытаний и представителям надзорных органов по их требованию.
205,"Проем, расположенный в стене толщиной более 0,7 м, а также тамбур следует считать самостоятельным участком горизонтального пути, имеющим конечную длину."
206,"При отсутствии необходимых исходных данных для определения времени начала эвакуации в зданиях (сооружениях) без систем оповещения величину следует принимать равной 0,5 мин - для этажа пожара и 2 мин - для вышележащих этажей."
207,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 5 м."
208,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 10 м."
209,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 5 м."
210,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 10 м."
211,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 10 м."
212,"Требуется определить, до какого максимального начального давления можно подавать в сосуд горючую смесь, чтобы после ее воспламенения в центре сосуда давление взрыва не превысило допустимого давления 2,0 МПа."
213,"Отсюда нетрудно вычислить, что диаметр предохранительной мембраны должен быть равен 0,5 м."
214,"Выбрав в качестве значения коэффициента расхода , получаем выражение , т.е. диаметр сбросного трубопровода должен составлять около 0,7 м, что слишком много для сосуда, эквивалентный диаметр которого (диаметр сферы объемом 4 м3) 1,97 м."
215,"Сосуд объемом 4 м3 без встроенных внутрь элементов для хранения бензола, рассчитанный на максимальное абсолютное давление 0,2 МПа, необходимо оснастить надежной системой сброса давления взрыва с отводом продуктов взрыва по трубопроводу в безопасное место."
216,"В лабораторном сосуде объемом 0,01 м3, рассчитанном на давление 2,0 МПа и имеющем сбросное отверстие для установки предохранительной мембраны диаметром 2,5 см, проводят исследования по определению нормальных скоростей распространения пламени для стехиометрических метановоздушных смесей при различных давлениях."
217,"Нижний концентрационный предел воспламенения этилена ( в смеси с воздухом равен 2,75%, поэтому, в соответствии с СНиП II-90-81 : производство по взрывной, взрывопожарной и пожарной опасности относится к категории А, то есть в цехе возможно возникновение как пожара, так и взрыва."
218,"Расчетное время эвакуации , определенное в соответствии с теми же нормами, равно 0,47 мин."
219,"Если выбранное и вычисленное значения отличаются более чем на 5%, то вычисление необходимо повторить."
220,"Требуется определить безопасную площадь разгерметизации при условии, что реактор рассчитан на избыточное давление 0,4 МПа (абсолютное давление 0,5 МПа)."
221,Время автоматического отключения циклона не более 2 мин.
222,"Горизонтальное расстояние между ними должно соответствовать требованиям нормативных документов, но быть не менее 5 м."
223,"Механические (фрикционные) искры (искры от удара и трения) Размеры искр удара и трения, которые представляют собой раскаленную до свечения частичку металла или камня, обычно не превышают 0,5 мм, а их температура находится в пределах температуры плавления металла."
224,"Предотвращение образования в горючей среде источников зажигания должно достигаться применением одного из следующих способов или их комбинацией: применением машин, механизмов, оборудования, устройств, при эксплуатации которых не образуются источники зажигания; применением электрооборудования, соответствующего пожароопасной и взрывоопасной зонам, группе и категории взрывоопасной смеси в соответствии с требованиями ГОСТ 12.1.011 <*> и Правил устройства электроустановок; -------------------------------- <*> В Российской Федерации действуют ГОСТ Р 51330.2-99 , ГОСТ Р 51330.5-99 , ГОСТ Р 51330.11-99 , ГОСТ Р 51330.19-99 . применением в конструкции быстродействующих средств защитного отключения возможных источников зажигания; применением технологического процесса и оборудования, удовлетворяющих требованиям электростатической искробезопасности по ГОСТ 12.1.018 ; устройством молниезащиты зданий, сооружений и оборудования; поддержанием температуры нагрева поверхности машин, механизмов, оборудования, устройств, веществ и материалов, которые могут войти в контакт с горючей средой, ниже предельно допустимой, составляющей 80% наименьшей температуры самовоспламенения горючего; исключением возможности появления искрового разряда в горючей среде с энергией, равной и выше минимальной энергии зажигания; применением неискрящего инструмента при работе с легковоспламеняющимися жидкостями и горючими газами; ликвидацией условий для теплового, химического и (или) микробиологического самовозгорания обращающихся веществ, материалов, изделий и конструкций."
225,"Прямой удар молнии Опасность прямого удара молнии заключается в контакте горючей среды с каналом молнии, температура в котором достигает 30000 °C при силе тока 200000 А и времени действия около 100 мкс."
226,"Если рассчитывать свободный объем невозможно, допускается принимать его равным 80% геометрического объема."
227,"Сначала рассчитывают значения критической продолжительности пожара ( ) по условию достижения каждым из ОФП предельно допустимых значений в зоне пребывания людей (рабочей зоне): по повышенной температуре , (25) по потере видимости , (26) по пониженному содержанию кислорода , (27) по каждому из газообразных токсичных продуктов горения , (28) где - размерный комплекс, зависящий от теплоты сгорания материала и свободного объема помещения, кг; - начальная температура воздуха в помещении, °C; - показатель степени, учитывающий изменение массы выгорающего материала во времени; - размерный параметр, учитывающий удельную массовую скорость выгорания горючего материала и площадь пожара, ; - безразмерный параметр, учитывающий неравномерность распределения ОФП по высоте помещения; - низшая теплота сгорания материала, ; - удельная изобарная теплоемкость газа, ; - коэффициент теплопотерь; - коэффициент полноты горения; - свободный объем помещения, м3; - коэффициент отражения предметов на путях эвакуации; - начальная освещенность, лк; - предельная дальность видимости в дыму, м; - дымообразующая способность горящего материала, ; - удельный выход токсичных газов при сгорании 1 кг материала, ; - предельно допустимое содержание токсичного газа в помещении, ( ; ; ); - удельный расход кислорода,."
228,"0,1 взрослого в зимней одежде ........................"
229,Размер капель металла при этом достигает 3 мм (при потолочной сварке - 4 мм).
230,"Температура капель алюминия при коротком замыкании достигает 2500 °C, температура сварочных частиц и никелевых частиц ламп накаливания достигает 2100 °C."
231,"Температура дуги при сварке и резке достигает 4000 °C, поэтому дуга является источником зажигания всех горючих веществ."
232,"Размер капель при резке металла достигает 15 - 26 мм, скорость - , температура 1500 °C."
233,"Энергия искрового разряда превышает 250 мДж и достаточна для воспламенения горючих веществ с минимальной энергией зажигания до 0,25 Дж."
234,"Влияние формы аппарата Для технологического оборудования с отношением длины к диаметру до 5:1 можно считать, что форма аппарата не влияет на значение фактора турбулизации, так как увеличение поверхности пламени из-за его вытягивания по форме аппарата компенсируется уменьшением поверхности в результате более раннего касания пламенем стенок сосуда."
235,Влияние объема аппарата Для полых аппаратов объемом менее 1 м3 значение фактора турбулизации.
236,Примеры расчетов Утвержден Постановлением Госстандарта СССР от 14 июня 1991 г. N 875 МЕЖГОСУДАРСТВЕННЫЙ СТАНДАРТ СИСТЕМА СТАНДАРТОВ БЕЗОПАСНОСТИ ТРУДА ПОЖАРНАЯ БЕЗОПАСНОСТЬ ОБЩИЕ ТРЕБОВАНИЯ Occupational safety standards system. Fire safety. General requirements ГОСТ 12.1.004-91 Группа Т58 МКС.
237,"Учитывая, что из всей массы этилена, вышедшего в объем помещения, только 70% участвуют в образовании локального взрывоопасного облака, время образования этого облака и время его существования после устранения утечки этилена будет равно:."
238,"Рассчитаем время образования взрывоопасной концентрации в локальном облаке, занимающем 5% объема цеха."
239,"Данные для расчета Ацетон находится в аппарате с максимальным объемом заполнения , равным 0,07 м3, и в центре помещения над уровнем пола."
240,"Радиус резервуара РВС - 20000 R = 22,81 м."
241,"Ширина поэтажного коридора 1,5 м, расстояние от наиболее удаленного помещения этажа до выхода в лестничную клетку 40 м, через один выход эвакуируются 50 человек, ширина выхода 1,2 м."
242,При этом время блокирования эвакуационных путей на этаже пожара принимаем равным 1 мин в соответствии с требованиями строительных норм и правил проектирования зданий и сооружений.
243,"Длина напорного и обводящего трубопроводов диаметром 0,05 м равна соответственно 3 и 10 м."
244,"Для отклонения компрессора при заклинивании всасывающего клапана имеется система контроля давления, которая отключает компрессор через 10 с после заклинивания клапана."
245,"При высоте расположения провода 10 м вероятность попадания частиц на расстояние 9 м составляет 0,06, 7 м - 0,45 и 5 м - 0,92, при высоте расположения 3 м вероятность попадания частиц на расстояние 8 м составляет 0,01, 6 м - 0,29 и 4 м - 0,96, а при высоте 1 м вероятность разлета частиц на 6 м - 0,06, 5 м - 0,24, 4 м - 0,66 и 3 м - 0,99."
246,"Установлено, что искра диаметром 2 мм пожароопасна, если имеет температуру около 1000 °C, диаметром 3 мм - 800 °C, диаметром 5 мм - 600 °C."
247,"Площадь щели при разгерметизации фланцевого соединения трубопровода диаметром 150 мм и толщиной щели 0,5 мм равна."
248,"При соприкосновении человека с заземленным предметом возникают искры с энергией от 2,5 до 7,5 мДж."
249,"Так как температура колбы электролампочки мощностью 150 Вт равна 350 °C, а температура самовоспламенения этилена 540 °C, следовательно, нагретая колба не может быть источником зажигания этиленовоздушной смеси."
250,"Время истечения этилена при имевших место авариях за анализируемый период времени было равно 4,5, 5 и 5,5 мин."
251,"Минимальная энергия зажигания этиленовоздушной смеси равна 0,12 мДж, а энергия соударения тел значительно превышает 1000 Дж, следовательно:."
252,Площадь разлива ацетона принимаем равной 116 м2.
253,"Влияние начальной герметизации аппарата Для полых аппаратов объемом до 200 м3 с начально открытыми сбросными сечениями, например люками, значение фактора турбулизации не превышает = 2, для аппаратов с начально закрытыми сбросными сечениями (мембраны, разгерметизаторы и т.д.) не превышает = 8."
254,"С ростом объема аппарата значение фактора турбулизации увеличивается, и для полых аппаратов объемом около 10 м3 в зависимости от степени негерметичности (отношение ) аппарата."
255,"С увеличением степени негерметичности сосуда объемом около 10 м3 от 0,025 до 0,25 значение фактора турбулизации возрастает от 2,5 до 5."
256,"Так, увеличение с целью снизить давление взрыва площади разгерметизации в 10 раз в сосуде объемом порядка 10 м3 сопровождается увеличением фактора турбулизации в 2 раза."
257,Ускорение пламени на специальных препятствиях достигает значений и более уже в сосудах объемом около 10 м3.
258,"Эффект интенсификации горения в сосуде при сбросе газов через трубопровод исчезает при увеличении давления разгерметизации до 0,2 МПа при начальном давлении 0,1 МПа."
259,"Полый технологический аппарат объемом 12 м3 рассчитан на максимальное избыточное давление 0,2 МПа (абсолютное давление 0,3 МПа) и предназначен для работы при атмосферном давлении с содержащей ацетон реакционной массой."
260,"При наличии орошения в трубопроводе и использовании приемной емкости, находящейся под разрежением, длина трубопровода (по результатам экспериментов - до 30 м) не оказывает заметного влияния на максимальное давление взрыва."
261,"Влияние условий истечения Если истечение горючей смеси и продуктов сгорания осуществляется через сбросный трубопровод, расположенный за разгерметизирующим элементом и имеющий диаметр, приблизительно равный диаметру сбросного отверстия, то значение фактора турбулизации вне зависимости от объема сосуда (до 15 м3) принимают (для сосудов со степенью негерметичности около , когда оснащение сосудов сбросным трубопроводом оправдано по соображениям разумного соотношения характерных размеров сосуда и трубопровода) при условии."
262,"Влияние степени негерметичности аппарата Увеличение степени негерметичности в 10 раз (от 0,025 до 0,25), что равнозначно увеличению площади разгерметизации в 10 раз для одного и того же аппарата, приводит к возрастанию фактора турбулизации в 2 раза (для аппаратов объемом около 10 м3 с до )."
263,Для сосудов объемом до 200 м3 различной формы с незначительными встроенными внутрь элементами значение фактора турбулизации не превышает.
264,"Объем помещения составляет 10000 м3 (48 x 24 x 8,7)."
265,Свободный объем помещения равен 10000 м3.
266,"Следовательно, принимаем, что весь разлившийся ацетон, кг, за время аварийной ситуации, равное 3600 с, испарится в объем помещения, т.е.."
267,К малоопасным относятся также негорючие вещества и материалы по п. 1.6 в горючей упаковке.
268,"Расчет Объем ацетона, м3, вышедшего из трубопроводов, составляет , где - время автоматического отключения насоса, равное 2 мин."
269,"Итак, безопасная площадь разгерметизации составляет в данном случае 0,175 м2, что равнозначно сбросному отверстию диаметром 0,47 м."
270,"Известно, что фрикционные искры твердых сталей при энергиях соударения порядка 1000 Дж поджигают метановоздушные смеси с минимальной энергией зажигания 0,28 мДж."
271,"Обследование показало, что за год наблюдалось 10 случаев заклинивания клапанов."
272,"Тогда общее время существования взрывоопасного облака, занимающего 5% объема помещения и представляющего опасность при взрыве для целостности строительных конструкций и жизни людей, с учетом работы аварийной вентиляции будет равно."
273,"Тогда время образования локального взрывоопасного облака, занимающего 5% объема цеха при работе вентиляции, будет равно."
274,"Диаметр трубопроводов с этиленом равен 150 мм, температура этилена достигает 130 °C."
275,Данные для расчета В качестве пожароопасного объекта взят резервуар с нефтью объемом 20000 м3.
276,Время начала эвакуации принимаем равным 2 мин.
277,Данные для расчета Отделение компрессии этилена расположено в одноэтажном производственном здании размерами в плане 20 x 12 м и высотой 10 м.
278,Аппарат имеет рубашку обогрева (80 °C).
279,"Реактор вместимостью 6 м3, в котором возможно образование изопропаноловоздушной стехиометрической смеси при давлении 0,2 МПа, содержит сложные вращающиеся детали."
280,"Статистические данные показывают, что за анализируемый период времени наблюдался один случай разрушения деталей поршневой группы, в результате чего в цилиндре компрессора в течение 2 мин наблюдалось искрение."
281,"Увеличение давления разгерметизации до ~ 0,2 МПа (при начальном давлении технологической среды 0,1 МПа) также приводит к исчезновению эффекта интенсификации взрыва."
282,"Записанное относительно критериальное соотношение (159) принимает вид , а следовательно, максимально допустимое начальное давление горючей смеси в сосуде , т.е. не должно превышать 0,6 МПа. (Введено дополнительно, Изм. N 1.)."
283,Определение пожароопасных параметров тепловых источников интенсивности отказов элементов 5.1.
284,"Расчет Оценку уровня безопасности определяем для людей, находящихся на 15-м этаже гостиницы (наиболее удаленном от выхода в безопасную зону) при наличии систем ПДЗ и ОЛП."
285,"Значения температуры, концентраций токсичных компонентов продуктов горения и оптической плотности дыма в коридоре этажа пожара и в лестничной клетке определяются в результате решения системы уравнений теплогазообмена для помещений очага пожара, поэтажного коридора и лестничной клетки."
286,В этом случае вероятность ( ) вычисляют по зависимости (24) где - необходимое время эвакуации из зальных помещений.
287,"Уравнения движения, связывающие значения перепадов давлений на проемах с расходами через проемы, имеют вид , (13) где - расход через проем, ; - коэффициент расхода проема ( для закрытых проемов и для открытых); - ширина проемов, м; , - нижняя и верхняя границы потока, м; - плотность газов, проходящих через проем, ; - средний в пределах , перепад полных давлений, Па."
288,"При необходимости учитывают и иные события, приводящие к появлению источника зажигания."
289,Значения токов и определяют экспериментально.
290,"Вероятность ( ) принимают равной единице, если в соответствии с технологической необходимостью происходит нагрев горючих веществ до опасных температур, или нулю, если такой процесс не происходит."
291,"При необходимости учитывают и иные события, приводящие к образованию горючей среды."
292,Время существования этой неисправности определяют как продолжительность периода между запланированным и фактическим сроками проверки.
293,При отсутствии сведений о параметрах надежности анализируемого оборудования (изделия) последние определяют расчетным путем на основе статистических данных об отказах этого оборудования (изделия).
294,"Пожаровзрывоопасность любого объекта определяется пожаровзрывоопасностью его составных частей (технологических аппаратов, установок, помещений)."
295,"Поэтому, например, при определении необходимого времени эвакуации людей из партера зрительного зала с наклонным полом значение следует находить, ориентируясь на наиболее высоко расположенные ряды кресел."
296,"Вероятность возникновения пожара (взрыва) в пожаровзрывоопасном объекте определяют на этапах его проектирования, строительства и эксплуатации."
297,Для расчета вероятности возникновения пожара (взрыва) на действующих или строящихся объектах необходимо располагать статистическими данными о времени существования различных пожаровзрывоопасных событий.
298,"Вероятность возникновения пожара (взрыва) в проектируемых объектах определяют на основе показателей надежности элементов объекта, позволяющих рассчитывать вероятность производственного оборудования, систем контроля и управления, а также других устройств, составляющих объект, которые приводят к реализации различных пожаровзрывоопасных событий."
299,"Вероятность ( ) того, что воспламеняющаяся способность появившегося в i -м элементе объекта n -го энергетического (теплового) источника достаточна для зажигания k -й горючей среды, находящейся в этом элементе, определяется экспериментально или сравнением параметров энергетического (теплового) источника с соответствующими показателями пожарной опасности горючей среды."
300,"Если данные для определения ( ) отсутствуют или их достаточность вызывает сомнение, то значение вероятности ( ) принимают равным 1."
301,"Пожарная безопасность объекта должна обеспечиваться системами предотвращения пожара и противопожарной защиты, в том числе организационно-техническими мероприятиями."
302,"Требуемый уровень обеспечения пожарной безопасности людей с помощью указанных систем должен быть не менее 0,999999 предотвращения воздействия опасных факторов в год в расчете на каждого человека, а допустимый уровень пожарной опасности для людей должен быть не более воздействия опасных факторов пожара, превышающих предельно допустимые значения, в год в расчете на каждого человека."
303,Перечень и требования к эффективности элементов конкретных систем пожарной безопасности должны устанавливаться нормативными и нормативно-техническими документами на соответствующие виды объектов.
304,"Методики, содержащиеся в стандартах и других нормативно-технических документах и предназначенные для определения показателей пожарной опасности строительных конструкций, их облицовок и отделок, веществ, материалов и изделий (в т.ч. незавершенного производства), должны адекватно отражать реальные условия пожара."
305,"Классификация объектов по пожарной и взрывопожарной опасности должна производиться с учетом допустимого уровня их пожарной опасности (требуемого уровня обеспечения пожарной безопасности), а расчеты критериев и показателей ее оценки, в т.ч. вероятности пожара (взрыва), - с учетом массы горючих и трудногорючих веществ и материалов, находящихся на объекте, взрывопожароопасных зон, образующихся в аварийных ситуациях, и возможного ущерба для людей и материальных ценностей."
306,Вероятность возникновения пожара от (в) электрического или другого единичного технологического изделия или оборудования при их разработке и изготовлении не должна превышать значения в год.
307,Конкретные значения минимально возможной вероятности возникновения пожара определяются проектировщиками и технологами при паспортизации этих объектов в установленном порядке.
308,"Объекты, пожары на которых могут привести к массовому поражению людей, находящихся на этих объектах, и окружающей территории опасными и вредными производственными факторами (по ГОСТ 12.0.003 ), а также опасными факторами пожара и их вторичными проявлениями, должны иметь системы пожарной безопасности, обеспечивающие минимально возможную вероятность возникновения пожара."
309,Метод определения безопасной площади разгерметизации оборудования 1.
310,Коллективную защиту следует обеспечивать с помощью пожаробезопасных зон и других конструктивных решений.
311,"В зданиях и сооружениях необходимо предусмотреть технические средства (лестничные клетки, противопожарные стены, лифты, наружные пожарные лестницы, аварийные люки и т.п.), имеющие устойчивость при пожаре и огнестойкость конструкций не менее времени, необходимого для спасения людей при пожаре, и расчетного времени тушения пожара."
312,"Система противодымной защиты объектов должна обеспечивать незадымление, снижение температуры и удаление продуктов горения и термического разложения на путях эвакуации в течение времени, достаточного для эвакуации людей, и (или) коллективную защиту людей в соответствии с требованиями п. 3.6 и (или) защиту материальных ценностей."
313,Средства коллективной и индивидуальной защиты должны обеспечивать безопасность людей в течение всего времени действия опасных факторов пожара.
314,"Для обеспечения эвакуации необходимо: установить количество, размеры и соответствующее конструктивное исполнение эвакуационных путей и выходов; обеспечить возможность беспрепятственного движения людей по эвакуационным путям; организовать при необходимости управление движением людей по эвакуационным путям (световые указатели, звуковое и речевое оповещение и т.п.)."
315,"Ограничение распространения пожара за пределы очага должно достигаться применением одного из следующих способов или их комбинацией: устройством противопожарных преград; установлением предельно допустимых по технико-экономическим расчетам площадей противопожарных отсеков и секций, а также этажности зданий и сооружений, но не более определенных нормами; устройством аварийного отключения и переключения установок и коммуникаций; применением средств, предотвращающих или ограничивающих разлив и растекание жидкостей при пожаре; применением огнепреграждающих устройств в оборудовании."
316,"Каждый объект должен иметь такое объемно-планировочное и техническое исполнение, чтобы эвакуация людей из него была завершена до наступления предельно допустимых значений опасных факторов пожара, а при нецелесообразности эвакуации была обеспечена защита людей в объекте."
317,"Объекты должны иметь системы пожарной безопасности, направленные на предотвращение воздействия на людей опасных факторов пожара, в том числе их вторичных проявлений, на требуемом уровне."
318,Определение нормальной скорости распространения пламени и термодинамических параметров 6.
319,"Системы пожарной безопасности должны характеризоваться уровнем обеспечения пожарной безопасности людей и материальных ценностей, а также экономическими критериями эффективности этих систем для материальных ценностей, с учетом всех стадий (научная разработка, проектирование, строительство, эксплуатация) жизненного цикла объектов, и выполнять одну из следующих задач: исключать возникновение пожара; обеспечивать пожарную безопасность людей; обеспечивать пожарную безопасность материальных ценностей; обеспечивать пожарную безопасность людей и материальных ценностей одновременно."
320,Оптическая плотность дыма при обычных условиях связана с расстоянием предельной видимости в дыму соотношением . (23) Значение времени начала эвакуации для зданий (сооружений) без систем оповещения вычисляют по результатам исследования поведения людей при пожарах в зданиях конкретного назначения.
321,"В качестве критерия опасности для людей, находящихся выше очага пожара, рассматривается условие достижения одним из ОФП предельно допустимого значения в лестничной клетке на уровне этажа пожара."
322,"Определяется высота рабочей зоны , (30) где - высота площадки, на которой находятся люди, над полом помещения, м; - разность высот пола, равная нулю при горизонтальном его расположении, м."
323,"Следует иметь в виду, что наибольшей опасности при пожаре подвергаются люди, находящиеся на более высокой отметке."
324,"Средства индивидуальной защиты следует применять также для пожарных, участвующих в тушении пожара."
325,"Показателем оценки уровня обеспечения пожарной безопасности людей на объектах является вероятность предотвращения воздействия ( ) опасных факторов пожара (ОФП), перечень которых определяется настоящим стандартом."
326,"Применяемая пожарная техника должна обеспечивать эффективное тушение пожара (загорания), быть безопасной для природы и людей."
327,"Вероятность ( ) вычисляют по зависимости (5) где - время от начала пожара до блокирования эвакуационных путей в результате распространения на них ОФП, имеющих предельно допустимые для людей значения, мин; - расчетное время эвакуации людей, мин; - интервал времени от возникновения пожара до начала эвакуации людей, мин."
328,"Вероятность предотвращения воздействия ОФП определяют для пожароопасной ситуации, при которой место возникновения пожара находится на первом этаже вблизи одного из эвакуационных выходов из здания (сооружения)."
329,"Начальными участками являются проходы между рабочими местами, оборудованием, рядами кресел и т.п. При определении расчетного времени длина и ширина каждого участка пути эвакуации принимаются по проекту."
330,Допускается время принимать равным необходимому времени эвакуации.
331,Необходимое время эвакуации рассчитывается как произведение критической для человека продолжительности пожара на коэффициент безопасности.
332,"Критическая продолжительность пожара для людей, находящихся на этаже очага пожара, определяется из условия достижения одним из ОФП в поэтажном коридоре своего предельно допустимого значения."
333,"Если отсутствует возможность определения коэффициента , то принимают."
334,"Температура искр, образующихся при соударении металлов, способных вступать в химическое взаимодействие друг с другом с выделением значительного количества тепла, может превышать температуру плавления, и поэтому ее определяют экспериментально или расчетом."
335,"Так как температура пламени газовой горелки и время ее действия значительно превышают температуру воспламенения и время, необходимое для зажигания этиленовоздушной смеси, получаем, что."
336,"Нижний и верхний температурные пределы воспламенения нефти равны: ,."
337,"Определить категорию и класс взрывоопасной зоны помещения, в котором размещается технологический процесс с использованием ацетона 4.1."
338,"Из условия задачи следует, что рабочая концентрация паров в резервуаре выше верхнего концентрационного предела воспламенения, т.е. в резервуаре при неподвижном слое нефти находится негорючая среда."
339,Определим число ударов молнии во взрывоопасную зону.
340,Определить вероятность воздействия ОФП на людей при пожаре в проектируемой 15-этажной гостинице при различных вариантах системы противопожарной защиты 3.1.
341,"Допускается при определении заменять создание характерного пожароопасного режима на использование стандартизованного эквивалентного по тепловому воздействию источника зажигания, т.е. с эквивалентными параметрами, характеризующими воспламеняющую способность (мощность, площадь, периодичность и время воздействия)."
342,"Расчеты экономического эффекта могут использоваться при определении цен на научно-техническую продукцию противопожарного назначения, а также для обоснования выбора мероприятий по обеспечению пожарной безопасности при формировании планов научно-исследовательских и опытно-конструкторских работ, экономического и социального развития объектов."
343,"Эффективность затрат на обеспечение пожарной безопасности определяется как социальными (оценивает соответствие фактического положения установленному социальному нормативу), так и экономическими (оценивает достигаемый экономический результат) показателями."
344,Численное значение затрат на мероприятия по обеспечению пожарной безопасности определяется на основе бухгалтерской отчетности объекта защиты.
345,"Затраты на обеспечение пожарной безопасности следует считать эффективными с социальной точки зрения, если они обеспечивают выполнение норматива по исключению воздействия на людей опасных факторов пожара, установленного настоящим стандартом ( разд."
346,"Экономический эффект определяется по всему циклу реализации мероприятия по обеспечению пожарной безопасности за расчетный период времени, включающий в себя время проведения научно-исследовательских и опытно-конструкторских работ, освоение и производство элементов систем и мероприятий по обеспечению пожарной безопасности, а также время использования результатов осуществления мероприятия на охраняемом объекте."
347,Конечный год расчетного периода определяется моментом завершения использования результатов осуществления мероприятия.
348,Конечный год использования результатов мероприятия по обеспечению пожарной безопасности определяется разработчиком и согласовывается с основным заказчиком (потребителем).
349,"При этом должны учитываться возможности закупки техники за рубежом, организации собственного производства на основе приобретения лицензий, организации совместного производства с зарубежными партнерами."
350,Экономический эффект затрат на обеспечение пожарной безопасности определяется по результатам эксплуатации за расчетный период.
351,"В этом случае в качестве следует учитывать остаточную стоимость фондов; б) фонды в конце расчетного периода, отслужившие лишь часть своего срока службы и эффективно функционирующие."
352,"В этом случае в качестве следует учитывать остаточную стоимость фондов; в) фонды, высвобожденные за ненадобностью в году , которые нигде более по своему назначению использованы быть не могут."
353,В этом случае в качестве следует учитывать ликвидационное сальдо.
354,Экономические потери ( и ) от пожара на объекте за год могут быть определены на основании статистических данных о пожарах и использовании расчетного метода ( разд.
355,"Метод определения площади пожара Настоящий метод предназначен для определения площади пожара, значение которой необходимо при расчете потерь от пожара на объекте."
356,Параметры и условия испытаний для конкретного изделия должны содержаться в нормативно-технической документации на изделие.
357,"Комплектующие изделия (резисторы, конденсаторы, транзисторы, трансформаторы, клеммные зажимы, реле и т.д.) допускаются к применению, если они отвечают требованиям пожарной безопасности соответствующих нормативно-технических документов и для них определены интенсивности пожароопасных отказов, необходимые для оценки вероятности возникновения пожара в конечном изделии."
358,"Он должен быть из числа наиболее опасных в пожарном отношении режимов, которые возникают в эксплуатации и, по возможности, имеют наибольшую вероятность."
359,Вероятность возникновения характерного пожароопасного режима определяют статистически по данным испытательных лабораторий предприятий-изготовителей и эксплуатационных служб.
360,"При наличии соответствующих справочных данных может быть определена через общую интенсивность отказов изделия с введением коэффициента, учитывающего долю пожароопасных отказов."
361,"Характерный пожароопасный режим изделия определяется значением электротехнического параметра, при котором возможно появление признаков его загорания."
362,Зажигание изделия возможно только в определенном диапазоне токов КЗ.
363,Нахождение минимальных пожароопасных значений производится в ходе выполнения экспериментальных исследований при определении.
364,"Вероятность положительного исхода опыта (воспламенения, появления дыма или достижения критической температуры) определяется после проведения лабораторных испытаний в условиях равенства ; , (155) где - число опытов с положительным исходом; - число опытов."
365,"Фактор турбулизации - основной параметр, оказывающий определяющее влияние на величину безопасной площади разгерметизации."
366,"В одном помещении склада запрещается хранить вещества и материалы, имеющие неоднородные средства пожаротушения."
367,Более строгое определение конечной температуры капли может быть проведено при учете зависимости коэффициента теплоотдачи от температуры.
368,По значениям относительной избыточной температуры и критерия определяют по графику (черт.
369,"Нижний и верхний концентрационные пределы воспламенения нефтяных паров (по объему), (по объему)."
370,Вещества и материалы должны находиться в разных складах или на разных площадках.
371,Вещества и материалы должны находиться в разных складах или на разных площадках.
372,Вещества и материалы должны находиться в разных складах или на разных площадках. * Особоопасные вещества и материалы.
373,"Определить категорию производства, в котором находится участок обработки зерна и циклон для определения зерновой пыли в системе вентиляции 5.1."
374,"Основные строительные конструкции здания железобетонные, и предельно допустимый прирост давления для них составляет 25 кПа."
375,Дополнительно определяем среднее квадратическое отклонение.
376,"Требования не распространяются на взрывчатые и радиоактивные вещества и материалы, которые должны храниться и перевозиться по специальным правилам."
377,Безопасные вещества и материалы следует хранить в помещениях или на площадках любого типа (если это не противоречит техническим условиям на вещество).
378,"Возможность совместного хранения веществ и материалов определяется на основании количественного учета показателей пожарной опасности, токсичности, химической активности, а также однородности средств пожаротушения."
379,Опасные вещества и материалы необходимо хранить в складах I и II степени огнестойкости.
380,Особоопасные вещества и материалы необходимо хранить в складах I и II степени огнестойкости преимущественно в отдельно стоящих зданиях.
381,Влияние препятствий и турбулизаторов Вопрос о влиянии различных препятствий на пути распространения пламени и турбулентности в смеси перед фронтом пламени является одним из определяющих в выборе значения фактора турбулизации.
382,"Наиболее правильным методом определения значения фактора турбулизации при наличии внутри аппарата сложных препятствий и турбулизованной смеси можно считать метод, основанный на сравнении расчетной и экспериментальной динамики (зависимость давление - время) взрыва."
383,Погрешность же в определении значения фактора турбулизации может составлять сотни процентов.
384,"Термодинамические параметры , , определяют путем термодинамического расчета, например на компьютерах, по известным методикам."
385,"При проектировании систем сброса газообразных продуктов в случае взрыва газопаровых смесей внутри технологического оборудования необходимо принимать во внимание возможность интенсивного догорания эвакуируемой смеси в сбросном трубопроводе, являющегося причиной турбулизации горения внутри защищаемого объема."
